Wall time,Step,Value
1773160860.4259286,10001,-146.2064971923828
1773160868.807388,20001,-108.71315002441406
1773160880.9451287,30001,-94.39237213134766
1773160893.5404258,40001,-94.71715545654297
1773160906.6196396,50001,-89.3770523071289
1773160917.760099,60001,-92.42167663574219
1773160929.2807047,70001,-90.46138763427734
1773160941.5502813,80001,-96.8054428100586
1773160954.106567,90001,-99.31301879882812
1773160967.2548814,100001,-95.74187469482422
1773160981.8306513,110001,-91.813232421875
1773160994.8120012,120001,-85.94579315185547
1773161008.8568583,130001,-76.5516586303711
1773161020.6590455,140001,-65.65123748779297
1773161031.8749878,150001,-38.52970886230469
1773161045.2456663,160001,-25.5396671295166
1773161057.1123343,170001,-8.315620422363281
1773161067.0010922,180001,56.206565856933594
1773161075.8947582,190001,117.41012573242188
1773161084.7845972,200001,165.5759735107422
1773161093.8913307,210001,181.50064086914062
1773161102.302113,220001,218.96209716796875
1773161111.373625,230001,207.68515014648438
1773161120.0608058,240001,174.94631958007812
1773161129.2969985,250001,137.02694702148438
1773161138.239386,260001,104.6358871459961
1773161147.139261,270001,67.46440124511719
1773161156.5616965,280001,53.92652130126953
1773161166.5234394,290001,79.06159973144531
1773161176.8652925,300001,93.03123474121094
