Wall time,Step,Value
1773161278.9157107,10001,-144.01036071777344
1773161288.1469142,20001,-104.96876525878906
1773161300.2682822,30001,-92.75916290283203
1773161311.9469953,40001,-88.29378509521484
1773161324.8070853,50001,-80.5210952758789
1773161337.4859831,60001,-77.70136260986328
1773161349.9373934,70001,-68.78193664550781
1773161361.8176544,80001,-56.75673294067383
1773161374.44585,90001,-44.609622955322266
1773161386.8499286,100001,-36.28788757324219
1773161398.568562,110001,-28.423852920532227
1773161409.7928603,120001,-5.370056629180908
1773161421.7069654,130001,41.22370529174805
1773161432.1758862,140001,82.16947937011719
1773161441.9073935,150001,122.72452545166016
1773161453.7470715,160001,143.65126037597656
1773161464.572985,170001,165.5655517578125
1773161476.4837916,180001,161.11944580078125
1773161488.2924905,190001,151.10800170898438
1773161501.0412037,200001,140.22813415527344
1773161513.2388957,210001,130.12356567382812
1773161525.5935256,220001,138.7666015625
1773161536.640219,230001,144.79571533203125
1773161546.580957,240001,174.9185028076172
1773161555.922857,250001,203.8921356201172
1773161564.468064,260001,227.763427734375
1773161573.0577898,270001,243.98995971679688
1773161581.5805626,280001,253.7451171875
1773161590.6680512,290001,260.2186584472656
1773161599.295056,300001,261.248779296875
