Wall time,Step,Value
1773166382.0195568,10001,-146.6778564453125
1773166390.3610237,20001,-105.33250427246094
1773166402.3223338,30001,-104.6994400024414
1773166413.4538343,40001,-104.96341705322266
1773166426.409101,50001,-102.34585571289062
1773166437.9746275,60001,-99.28612518310547
1773166449.6124406,70001,-88.54649353027344
1773166462.0185406,80001,-85.29302978515625
1773166473.1741478,90001,-90.29338836669922
1773166485.0765774,100001,-72.40441131591797
1773166495.5613143,110001,-52.116172790527344
1773166507.0231707,120001,-28.310230255126953
1773166517.4147475,130001,25.972888946533203
1773166528.31018,140001,58.11083984375
1773166540.3190832,150001,83.86688232421875
1773166550.5944312,160001,118.12165832519531
1773166560.3094697,170001,151.46151733398438
1773166571.309731,180001,159.44036865234375
1773166581.0718834,190001,178.38079833984375
1773166590.1092246,200001,189.66250610351562
1773166598.980059,210001,211.50140380859375
1773166607.7351322,220001,235.3680419921875
1773166616.3142738,230001,245.644775390625
1773166625.4716432,240001,230.5692138671875
1773166634.4565845,250001,202.04351806640625
1773166643.4938009,260001,187.75238037109375
1773166652.9718997,270001,192.46749877929688
1773166662.161124,280001,219.98558044433594
1773166671.1536067,290001,221.06222534179688
1773166680.0237687,300001,228.16175842285156
