Wall time,Step,Value
1773165851.348034,10001,-132.63323974609375
1773165860.697513,20001,-96.06881713867188
1773165873.6152864,30001,-90.5781021118164
1773165885.26618,40001,-92.97476196289062
1773165897.0449677,50001,-90.83583068847656
1773165909.7649136,60001,-93.71066284179688
1773165922.4594076,70001,-89.80248260498047
1773165933.3618374,80001,-93.2429428100586
1773165945.7996957,90001,-90.8663330078125
1773165957.155069,100001,-84.76781463623047
1773165968.9487607,110001,-87.46260833740234
1773165981.7723935,120001,-78.52239990234375
1773165994.0568376,130001,-72.65821838378906
1773166006.445684,140001,-64.66961669921875
1773166019.6564548,150001,-53.564842224121094
1773166029.5960388,160001,31.506790161132812
1773166039.8112557,170001,80.72696685791016
1773166049.544964,180001,146.15524291992188
1773166058.5725813,190001,207.92214965820312
1773166067.1353748,200001,223.59130859375
1773166075.3931217,210001,244.0397186279297
1773166083.7877738,220001,256.1126708984375
1773166091.9383707,230001,259.6643981933594
1773166100.1357353,240001,253.49327087402344
1773166108.3250668,250001,249.6641082763672
1773166116.669597,260001,243.43763732910156
1773166124.9201818,270001,238.60549926757812
1773166132.9896994,280001,249.64805603027344
1773166141.068404,290001,240.28964233398438
1773166149.8300226,300001,241.3741455078125
